experiment,policy,lr,gamma,batch_size,eps_start,eps_end,exploration_fraction,timesteps,train_minutes,eval_reward_mean,eval_reward_std
k01_lr_5e4,CnnPolicy,0.0005,0.99,32,1.0,0.05,0.1,500000,30.9,-21.0,0.0
k02_lr_5e5,CnnPolicy,5e-05,0.99,32,1.0,0.05,0.1,500000,31.1,-7.67,0.94
k03_gamma_095,CnnPolicy,0.0001,0.95,32,1.0,0.05,0.1,500000,32.3,-9.33,7.54
k04_gamma_098,CnnPolicy,0.0001,0.98,32,1.0,0.05,0.1,500000,32.3,-16.0,2.83
k05_batch16,CnnPolicy,0.0001,0.99,16,1.0,0.05,0.1,500000,29.9,-18.0,0.0
k06_batch256,CnnPolicy,0.0001,0.99,256,1.0,0.05,0.1,500000,56.2,19.67,1.89
k07_epsend_001,CnnPolicy,0.0001,0.99,32,1.0,0.01,0.1,500000,33.0,-17.33,3.77
k08_epsend_015,CnnPolicy,0.0001,0.99,32,1.0,0.15,0.1,500000,29.5,-15.0,7.07
k09_decay_5pct,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.05,500000,30.4,-9.67,0.94
k10_decay_50pct,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.5,500000,27.7,-6.33,0.47
